,token_text,lemma,pos,ref,char_start,char_end,id,sent_idx,sent_len,page,textblock,tag,blocktype,positions
3899489,.,.,PUNCT,"{'blocktype': 'text', 'page': array([10]), 'tag': '', 'textblock': array([18])}",31,32,100099,128,32,[10],[18],,text,"[{'coordinates': {'upper_left_x': 0.24847058208048844, 'upper_left_y': 0.4318574737766293, 'lower_right_x': 0.39880091562992387, 'lower_right_y': 0.43770072012785777}, 'text': 'cium pertinet. ', 'tag': 'text', 'page': 10}]"
2921480,Antidotus,antidotus,NOUN,"{'blocktype': 'text', 'page': array([45]), 'tag': '', 'textblock': array([10])}",0,9,100051,458,31,[45],[10],,text,"[{'coordinates': {'upper_left_x': 0.17505882968421743, 'upper_left_y': 0.3129975959977175, 'lower_right_x': 0.6179059709821428, 'lower_right_y': 0.31884084234894594}, 'text': 'Antidotus e psyllio N. Myrepsi. ', 'tag': 'text', 'page': 45}]"
2635211,cerasiis,cerasia,NOUN,"{'blocktype': 'text', 'page': array([219]), 'tag': '', 'textblock': array([25])}",2,10,100049,3347,58,[219],[25],,text,"[{'coordinates': {'upper_left_x': 0.11818487343667936, 'upper_left_y': 0.7488171357723427, 'lower_right_x': 0.7086965352547269, 'lower_right_y': 0.7546603458794165}, 'text': 'ribus hyperici potatae iuuant; e cerasiis quo', 'tag': 'text', 'page': 219}]"
5198418,indicet,indico,VERB,"{'blocktype': 'text', 'page': array([434]), 'tag': '', 'textblock': array([31])}",20,27,100097,9730,34,[434],[31],,text,"[{'coordinates': {'upper_left_x': 0.25193245549586657, 'upper_left_y': 0.7785201821091998, 'lower_right_x': 0.958278290997303, 'lower_right_y': 0.7812107240138032}, 'text': 'incogitantia. (9). Quid urinae flauedo indicet. (10). Nil bilis, ', 'tag': 'text', 'page': 434}]"
1451429,",",",",PUNCT,"{'blocktype': 'text', 'page': array([36]), 'tag': '', 'textblock': array([11])}",101,102,100095,376,278,[36],[11],,text,"[{'coordinates': {'upper_left_x': 0.28880671653427, 'upper_left_y': 0.4489311163895487, 'lower_right_x': 0.8663018234637605, 'lower_right_y': 0.4546318144809605}, 'text': 'sans que autre que ledit Bosc, ou ayans droict ', 'tag': 'text', 'page': 36}]"
164007,aurique,aurique,ADJ,"{'blocktype': 'text', 'page': array([246]), 'tag': '', 'textblock': array([19])}",264,271,100094,3064,347,[246],[19],,text,"[{'coordinates': {'upper_left_x': 0.05327999877929687, 'upper_left_y': 0.5517841207570043, 'lower_right_x': 0.7726824951171875, 'lower_right_y': 0.5553823582593469}, 'text': 'runt, praetendunt, quod argenti uiui aurique elementum ', 'tag': 'text', 'page': 246}]"
1341627,per,per,ADP,"{'blocktype': 'text', 'page': array([330]), 'tag': '', 'textblock': array([57])}",121,124,100085,21708,244,[330],[57],,text,"[{'coordinates': {'upper_left_x': 0.5099999956089816, 'upper_left_y': 0.6989090736466225, 'lower_right_x': 0.9659665334138939, 'lower_right_y': 0.7001212071890783}, 'text': 'per cucurbitam duplicem, ubi etiam tertia duntaxat pars ', 'tag': 'text', 'page': 330}]"
5154436,",",",",PUNCT,"{'blocktype': 'text', 'page': array([297]), 'tag': '', 'textblock': array([1])}",140,141,100097,6560,216,[297],[1],,text,"[{'coordinates': {'upper_left_x': 0.08536764453439151, 'upper_left_y': 0.05863406167038277, 'lower_right_x': 0.8082567663753734, 'lower_right_y': 0.06129924513643679}, 'text': 'quodque deceptio sit, qui bilem educi aiunt, si & ', 'tag': 'text', 'page': 297}]"
5856516,ita,ita,ADV,"{'blocktype': 'text', 'page': array([227]), 'tag': '', 'textblock': array([3])}",145,148,100084,3621,370,[227],[3],,text,"[{'coordinates': {'upper_left_x': 0.043587445143626946, 'upper_left_y': 0.1293630782206347, 'lower_right_x': 0.8359051349451724, 'lower_right_y': 0.13127390138662545}, 'text': 'mopere purificata ac debita proportione iuncta, ita Rotati', 'tag': 'text', 'page': 227}]"
2400954,",",",",PUNCT,"{'blocktype': 'text', 'page': array([354]), 'tag': '', 'textblock': array([26])}",130,131,100071,2304,258,[354],[26],,text,"[{'coordinates': {'upper_left_x': 0.20450420219357274, 'upper_left_y': 0.8337577040574896, 'lower_right_x': 0.8604270101595326, 'lower_right_y': 0.8396009141645635}, 'text': 'memoria, quae tibi habet ostendere, quali', 'tag': 'text', 'page': 354}]"
2158602,&,&,PUNCT,"{'blocktype': 'text', 'page': array([663]), 'tag': '', 'textblock': array([15])}",153,154,100038,9156,215,[663],[15],,text,"[{'coordinates': {'upper_left_x': 0.08186046590484698, 'upper_left_y': 0.47606895709859914, 'lower_right_x': 0.7831683491551599, 'lower_right_y': 0.47992474307834543}, 'text': 'cordia, & quod sulphur & Mercurius in al', 'tag': 'text', 'page': 663}]"
